City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Thompson,CA,2022-02-02 23:23:13,55.7435,-97.8558,-9.24,64,20,18.41
1,Port Elizabeth,ZA,2022-02-02 23:23:13,-33.918,25.5701,71.1,94,75,10.36
2,Punta Arenas,CL,2022-02-02 23:19:08,-53.15,-70.9167,48.31,71,75,6.91
3,Marquette,US,2022-02-02 23:23:14,46.5333,-87.6335,9.84,64,100,9.15
4,Segou,ML,2022-02-02 23:23:14,13.4317,-6.2157,73.29,15,0,9.69
5,Morondava,MG,2022-02-02 23:22:06,-20.2833,44.2833,80.69,85,78,7.07
6,Kibaya,TZ,2022-02-02 23:23:14,-5.3,36.5667,59.49,97,100,0.38
7,Bluff,NZ,2022-02-02 23:23:15,-46.6,168.3333,58.8,64,100,17.2
8,Damietta,EG,2022-02-02 23:23:15,31.4165,31.8133,55.29,48,61,7.7
9,East London,ZA,2022-02-02 23:23:15,-33.0153,27.9116,74.53,94,67,12.88
10,Nikolskoye,RU,2022-02-02 23:23:16,59.7035,30.7861,21.09,98,99,0.87
11,Ushuaia,AR,2022-02-02 23:22:48,-54.8,-68.3,44.26,61,75,24.16
12,Busselton,AU,2022-02-02 23:23:16,-33.65,115.3333,69.04,44,100,14.58
13,Zenzeli,RU,2022-02-02 23:23:17,45.9241,47.0474,35.56,91,100,8.43
14,Tiksi,RU,2022-02-02 23:23:17,71.6872,128.8694,-5.15,97,100,6.85
15,Esperance,AU,2022-02-02 23:23:18,-33.8667,121.9,64.15,64,4,16.13
16,Mataura,NZ,2022-02-02 23:23:18,-46.1927,168.8643,58.48,92,100,3.98
17,Sibiti,CG,2022-02-02 23:23:18,-3.6819,13.3499,69.46,98,100,4.5
18,Atuona,PF,2022-02-02 23:23:19,-9.8,-139.0333,78.39,76,94,15.35
19,Alberton,CA,2022-02-02 23:23:19,46.8168,-64.0654,30.11,87,97,16.22
20,Vaini,TO,2022-02-02 23:23:19,-21.2,-175.2,86.16,74,20,6.91
21,Cidreira,BR,2022-02-02 23:23:20,-30.1811,-50.2056,75.67,84,0,19.15
22,Poienile De Sub Munte,RO,2022-02-02 23:23:20,47.8167,24.4333,23.09,98,99,0.43
23,Albany,US,2022-02-02 23:23:21,42.6001,-73.9662,41.74,78,86,1.99
24,Rikitea,PF,2022-02-02 23:23:21,-23.1203,-134.9692,78.66,72,100,7.27
25,Aksum,ET,2022-02-02 23:23:21,14.1245,38.7244,58.37,63,45,1.7
26,Aklavik,CA,2022-02-02 23:23:21,68.2191,-135.0107,-22.0,76,75,3.44
27,Zambezi,ZM,2022-02-02 23:23:22,-13.5432,23.1047,66.25,86,100,2.89
28,Victoria,HK,2022-02-02 23:20:02,22.2855,114.1577,55.26,90,100,10.22
29,Nanortalik,GL,2022-02-02 23:23:22,60.1432,-45.2371,8.1,63,43,7.74
30,Broome,US,2022-02-02 23:23:23,42.2506,-75.833,40.69,70,75,4.0
31,Lebu,CL,2022-02-02 23:23:23,-37.6167,-73.65,62.28,83,50,11.03
32,Kapit,MY,2022-02-02 23:23:23,2.0167,112.9333,72.0,99,95,0.89
33,Iqaluit,CA,2022-02-02 23:23:23,63.7506,-68.5145,8.33,78,75,8.05
34,Cape Town,ZA,2022-02-02 23:22:48,-33.9258,18.4232,66.11,90,75,1.01
35,Kloulklubed,PW,2022-02-02 23:22:14,7.0419,134.2556,82.9,75,100,19.08
36,Coquimbo,CL,2022-02-02 23:22:05,-29.9533,-71.3436,65.93,77,20,10.36
37,Butaritari,KI,2022-02-02 23:23:24,3.0707,172.7902,81.66,79,28,17.27
38,Souillac,MU,2022-02-02 23:23:24,-20.5167,57.5167,80.98,89,75,27.63
39,Nouakchott,MR,2022-02-02 23:23:25,18.0858,-15.9785,80.53,26,0,12.01
40,Isangel,VU,2022-02-02 23:23:25,-19.55,169.2667,86.11,79,75,4.61
41,Shingu,JP,2022-02-02 23:23:25,33.7333,135.9833,44.91,67,98,5.48
42,Fort Nelson,CA,2022-02-02 23:23:23,58.8053,-122.7002,-6.21,77,100,9.22
43,Samana,DO,2022-02-02 23:23:26,19.2056,-69.3369,75.16,91,9,7.36
44,Moroto,UG,2022-02-02 23:23:26,2.5345,34.6666,71.53,50,100,5.57
45,Vardo,NO,2022-02-02 23:23:26,70.3705,31.1107,29.86,60,100,18.9
46,Lorengau,PG,2022-02-02 23:19:34,-2.0226,147.2712,80.26,80,100,11.54
47,Mar Del Plata,AR,2022-02-02 23:20:11,-38.0023,-57.5575,78.1,61,75,4.61
48,Hermanus,ZA,2022-02-02 23:24:27,-34.4187,19.2345,65.89,87,4,12.1
49,New Norfolk,AU,2022-02-02 23:24:27,-42.7826,147.0587,60.3,55,74,3.0
50,Yucaipa,US,2022-02-02 23:24:27,34.0336,-117.0431,58.95,16,0,3.0
51,Half Moon Bay,US,2022-02-02 23:24:28,37.4636,-122.4286,64.87,30,0,7.0
52,Vila Velha,BR,2022-02-02 23:24:28,-20.3297,-40.2925,78.94,83,0,4.61
