,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint George,US,37.1041,-113.5841,50.47,28,0,3.0,clear sky
1,Rikitea,PF,-23.1203,-134.9692,78.46,71,9,10.63,clear sky
2,Cockburn Town,TC,21.4612,-71.1419,75.67,69,0,15.84,clear sky
3,Airai,TL,-8.9266,125.4092,60.12,90,99,1.86,overcast clouds
4,Matay,EG,28.419,30.7792,57.83,47,94,11.07,overcast clouds
5,Albany,US,42.6001,-73.9662,26.91,87,100,1.01,light snow
6,Kabwe,ZM,-14.4469,28.4464,63.79,95,100,4.27,overcast clouds
7,Bluff,NZ,-46.6,168.3333,50.58,63,77,6.78,broken clouds
8,Cherskiy,RU,68.75,161.3,-34.71,99,14,3.15,few clouds
9,Ponta Delgada,PT,37.7333,-25.6667,62.51,67,20,11.5,few clouds
10,Stornoway,GB,58.2093,-6.3865,38.03,72,40,7.0,scattered clouds
11,Punta Arenas,CL,-53.15,-70.9167,59.11,38,0,17.27,clear sky
12,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,83,40,12.66,scattered clouds
13,Ust-Kuyga,RU,70.0167,135.6,-36.71,100,100,5.88,overcast clouds
14,Conway,US,35.0887,-92.4421,35.4,67,75,1.99,moderate rain
15,Jiuquan,CN,39.7432,98.5174,17.11,42,100,3.78,overcast clouds
16,Mount Isa,AU,-20.7333,139.5,67.77,49,28,6.91,scattered clouds
17,Ushuaia,AR,-54.8,-68.3,55.02,50,0,16.11,clear sky
18,Husavik,IS,66.0449,-17.3389,24.71,92,99,15.1,light snow
19,Saskylakh,RU,71.9167,114.0833,-6.34,99,100,4.72,light snow
20,Tuktoyaktuk,CA,69.4541,-133.0374,-24.07,99,14,11.63,few clouds
21,Busselton,AU,-33.65,115.3333,67.08,59,0,5.19,clear sky
22,Pitimbu,BR,-7.4706,-34.8086,86.59,61,21,11.34,few clouds
23,Atar,MR,20.5169,-13.0499,78.98,9,7,9.48,clear sky
24,Abrau-Dyurso,RU,44.69,37.59,31.48,85,98,13.69,light snow
25,Boende,CD,-0.2167,20.8667,77.85,44,46,2.33,scattered clouds
26,Atuona,PF,-9.8,-139.0333,78.19,78,29,16.22,light rain
27,Cabo San Lucas,MX,22.8909,-109.9124,75.51,48,0,1.99,clear sky
28,Mglin,RU,53.0591,32.8475,0.95,100,95,3.02,overcast clouds
29,Ribeira Grande,PT,38.5167,-28.7,59.4,77,40,13.8,scattered clouds
30,Dunmore Town,BS,25.5,-76.65,74.34,61,0,11.39,clear sky
31,Touros,BR,-5.1989,-35.4608,81.5,59,26,15.19,scattered clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,82.36,87,83,5.99,broken clouds
33,Chokurdakh,RU,70.6333,147.9167,-30.95,100,66,1.74,broken clouds
34,Mendoza,AR,-32.8908,-68.8272,81.93,36,40,10.36,scattered clouds
35,Shetpe,KZ,44.1667,52.1167,39.65,92,97,5.12,overcast clouds
36,Zhezkazgan,KZ,47.8043,67.7144,8.31,79,46,11.43,scattered clouds
37,Nikolskoye,RU,59.7035,30.7861,19.29,95,72,8.21,broken clouds
38,Barrow,US,71.2906,-156.7887,-29.18,68,40,8.05,scattered clouds
39,Hermanus,ZA,-34.4187,19.2345,64.8,62,0,19.35,clear sky
40,Grand Gaube,MU,-20.0064,57.6608,81.0,82,100,7.0,overcast clouds
41,Zeya,RU,53.75,127.2667,-2.4,89,100,3.89,overcast clouds
42,Mataura,NZ,-46.1927,168.8643,46.02,98,100,1.36,overcast clouds
43,Butaritari,KI,3.0707,172.7902,82.51,73,14,19.1,few clouds
44,Aklavik,CA,68.2191,-135.0107,-21.17,68,20,8.05,few clouds
45,Chuy,UY,-33.6971,-53.4616,80.74,69,18,5.64,few clouds
46,Plouzane,FR,48.3833,-4.6167,49.08,81,75,8.05,broken clouds
47,Cidreira,BR,-30.1811,-50.2056,78.39,79,100,9.35,overcast clouds
48,Chingirlau,KZ,51.095,54.0814,29.48,84,100,14.88,overcast clouds
49,Ponta Do Sol,PT,32.6667,-17.1,67.01,83,100,1.19,overcast clouds
50,Vardo,NO,70.3705,31.1107,16.0,73,100,26.06,overcast clouds
51,Bredasdorp,ZA,-34.5322,20.0403,64.27,59,8,11.5,clear sky
52,Chimbote,PE,-9.0853,-78.5783,76.32,69,16,12.17,few clouds
53,Barinas,VE,8.6226,-70.2075,95.04,38,100,4.61,overcast clouds
54,Makat,KZ,47.6469,53.3463,33.28,85,100,14.12,overcast clouds
55,Saint-Leu,RE,-21.15,55.2833,79.66,78,100,12.08,light rain
56,Borogontsy,RU,62.6683,131.1683,-37.62,100,100,0.47,overcast clouds
57,Grand-Santi,GF,4.25,-54.3833,79.68,88,77,3.51,broken clouds
58,Cacequi,BR,-29.8836,-54.825,89.96,46,73,6.33,broken clouds
59,Jamestown,US,42.097,-79.2353,23.09,61,100,3.0,light snow
60,Thompson,CA,55.7435,-97.8558,-14.64,64,20,9.22,few clouds
61,Ivaipora,BR,-24.2478,-51.6847,72.86,95,93,7.65,light rain
62,Salamiyah,SY,35.0113,37.0532,46.27,83,100,11.12,overcast clouds
63,Ondangwa,NA,-17.9167,15.95,74.8,59,93,10.54,overcast clouds
64,Lovozero,RU,68.005,35.0117,4.5,88,100,9.08,overcast clouds
65,Mehamn,NO,71.0357,27.8492,19.58,84,100,28.61,overcast clouds
66,Turukhansk,RU,65.8167,87.9833,10.76,93,100,14.16,overcast clouds
67,Sept-Iles,CA,50.2001,-66.3821,7.05,52,20,3.44,few clouds
68,Carnarvon,AU,-24.8667,113.6333,81.25,62,67,13.96,broken clouds
69,Coihaique,CL,-45.5752,-72.0662,71.55,30,20,6.91,few clouds
70,Harbin,CN,45.75,126.65,-11.25,97,99,3.56,overcast clouds
71,Mitsamiouli,KM,-11.3847,43.2844,81.54,81,86,10.74,light rain
72,Irun,ES,43.339,-1.7894,51.51,90,75,2.3,light intensity drizzle
73,Saint Anthony,US,45.0205,-93.218,10.24,65,75,7.0,haze
74,Zyryanka,RU,65.75,150.85,-40.74,100,97,0.76,overcast clouds
75,Noumea,NC,-22.2763,166.4572,75.18,86,100,2.51,overcast clouds
76,Mahebourg,MU,-20.4081,57.7,80.89,89,75,16.11,broken clouds
77,Vestmannaeyjar,IS,63.4427,-20.2734,27.81,70,100,6.71,overcast clouds
78,Dunedin,NZ,-45.8742,170.5036,52.81,81,100,5.01,overcast clouds
79,Saint-Philippe,RE,-21.3585,55.7679,80.19,87,100,27.63,moderate rain
80,Tasiilaq,GL,65.6145,-37.6368,21.36,64,100,39.95,overcast clouds
